school,major,rank,grade,score,province
沈阳工业大学,软件工程,225,B,25.2,辽宁
天津财经大学,软件工程,225,B,25.2,天津
合肥师范学院,软件工程,229,B,25,安徽
大连民族大学,软件工程,230,B,24.9,辽宁
闽南师范大学,软件工程,230,B,24.9,福建
沈阳化工大学,软件工程,230,B,24.9,辽宁
长春大学,软件工程,233,B,24.7,吉林
湖南理工学院,软件工程,233,B,24.7,湖南
武汉轻工大学,软件工程,233,B,24.7,湖北
河南师范大学,软件工程,236,B,24.5,河南
湖北经济学院,软件工程,236,B,24.5,湖北
泰山学院,软件工程,236,B,24.5,山东
聊城大学,软件工程,239,B,24.4,山东
河北师范大学,软件工程,240,B,24.3,河北
湖南工业大学,软件工程,241,B,24.2,湖南
中原工学院,软件工程,241,B,24.2,河南
浙江万里学院,软件工程,243,B,24.1,浙江
天津中德应用技术大学,软件工程,244,B,24,天津
浙江传媒学院,软件工程,244,B,24,浙江
哈尔滨师范大学,软件工程,246,B,23.8,黑龙江
嘉兴大学,软件工程,247,B,23.7,浙江
西华师范大学,软件工程,247,B,23.7,四川
内蒙古农业大学,软件工程,249,B,23.6,内蒙古
五邑大学,软件工程,249,B,23.6,广东
河南工业大学,软件工程,251,B,23.5,河南
兰州理工大学,软件工程,251,B,23.5,甘肃
安阳师范学院,软件工程,253,B,23.3,河南
湖南科技学院,软件工程,253,B,23.3,湖南
攀枝花学院,软件工程,255,B,23.1,四川
苏州工学院,软件工程,255,B,23.1,江苏
肇庆学院,软件工程,255,B,23.1,广东
贵阳学院,软件工程,258,B,22.9,贵州
井冈山大学,软件工程,258,B,22.9,江西
河北工程大学,软件工程,260,B,22.8,河北
河南理工大学,软件工程,261,B,22.6,河南
江西农业大学,软件工程,261,B,22.6,江西
重庆科技大学,软件工程,263,B,22.4,重庆
湖北师范大学,软件工程,263,B,22.4,湖北
吉林师范大学,软件工程,263,B,22.4,吉林
四川轻化工大学,软件工程,263,B,22.4,四川
信阳师范大学,软件工程,267,B,22.3,河南
浙江水利水电学院,软件工程,267,B,22.3,浙江
河北科技大学,软件工程,269,B,22.2,河北
辽宁科技大学,软件工程,269,B,22.2,辽宁
阜阳师范大学,软件工程,271,B,22.1,安徽
黄冈师范学院,软件工程,271,B,22.1,湖北
盐城工学院,软件工程,271,B,22.1,江苏
河南财经政法大学,软件工程,274,B,22,河南
重庆三峡学院,软件工程,275,B,21.9,重庆
滁州学院,软件工程,275,B,21.9,安徽
湖南第一师范学院,软件工程,275,B,21.9,湖南
南京晓庄学院,软件工程,275,B,21.9,江苏
广西民族大学,软件工程,279,B,21.6,广西
内蒙古工业大学,软件工程,279,B,21.6,内蒙古
天津职业技术师范大学,软件工程,281,B,21.5,天津
黑龙江科技大学,软件工程,282,B,21.3,黑龙江
淮阴师范学院,软件工程,282,B,21.3,江苏
天津城建大学,软件工程,282,B,21.3,天津
闽江学院,软件工程,285,B,21.2,福建
南宁师范大学,软件工程,285,B,21.2,广西
广西科技大学,软件工程,287,B,21.1,广西
湖北文理学院,软件工程,287,B,21.1,湖北
河南科技大学,软件工程,289,B,21,河南
西安文理学院,软件工程,289,B,21,陕西
郑州航空工业管理学院,软件工程,289,B,21,河南
北华航天工业学院,软件工程,292,B,20.7,河北
湖北汽车工业学院,软件工程,292,B,20.7,湖北
衡阳师范学院,软件工程,294,B,20.5,湖南
黔南民族师范学院,软件工程,294,B,20.5,贵州
盐城师范学院,软件工程,294,B,20.5,江苏
哈尔滨商业大学,软件工程,297,B,20.4,黑龙江
湖北第二师范学院,软件工程,297,B,20.4,湖北
北京城市学院,软件工程,299,B,20.3,北京
天津农学院,软件工程,299,B,20.3,天津
怀化学院,软件工程,301,B,20.1,湖南
齐齐哈尔大学,软件工程,302,B,20,黑龙江
昆明学院,软件工程,303,B,19.7,云南
无锡学院,软件工程,303,B,19.7,江苏
山西农业大学,软件工程,305,B,19.6,山西
巢湖学院,软件工程,306,B,19.5,安徽
西北民族大学,软件工程,306,B,19.5,甘肃
莆田学院,软件工程,308,B,19.4,福建
湖南工学院,软件工程,309,B,19.3,湖南
武汉商学院,软件工程,309,B,19.3,湖北
宿迁学院,软件工程,311,B,19.2,江苏
海南热带海洋学院,软件工程,312,B,19.1,海南
河南科技学院,软件工程,313,B,19,河南
石家庄学院,软件工程,313,B,19,河北
徐州工程学院,软件工程,313,B,19,江苏
大连东软信息学院,软件工程,316,B,18.9,辽宁
大连外国语大学,软件工程,317,B,18.8,辽宁
哈尔滨学院,软件工程,318,B,18.7,黑龙江
宝鸡文理学院,软件工程,319,B,18.4,陕西
成都工业学院,软件工程,319,B,18.4,四川
河南工学院,软件工程,321,B,18.3,河南
黑龙江工程学院,软件工程,321,B,18.3,黑龙江
龙岩学院,软件工程,321,B,18.3,福建
潍坊学院,软件工程,321,B,18.3,山东
韩山师范学院,软件工程,325,B,18.2,广东
宿州学院,软件工程,325,B,18.2,安徽
平顶山学院,软件工程,327,B,17.9,河南
洛阳师范学院,软件工程,328,B,17.8,河南
天津商业大学,软件工程,328,B,17.8,天津
清华大学,人工智能,1,A+,70.3,北京
上海交通大学,人工智能,2,A+,61.6,上海
西安电子科技大学,人工智能,3,A+,58.3,陕西
中国科学技术大学,人工智能,4,A+,58.2,安徽
东南大学,人工智能,5,A+,56.8,江苏
南京大学,人工智能,6,A+,56.6,江苏
电子科技大学,人工智能,7,A+,56.4,四川
浙江大学,人工智能,8,A+,56.2,浙江
北京航空航天大学,人工智能,9,A+,56.1,北京
西安交通大学,人工智能,9,A+,56.1,陕西
华中科技大学,人工智能,11,A+,55.9,湖北
哈尔滨工业大学,人工智能,12,A+,55.5,黑龙江
西北工业大学,人工智能,13,A,54.6,陕西
北京大学,人工智能,14,A,54.4,北京
北京邮电大学,人工智能,15,A,52.1,北京
中山大学,人工智能,16,A,52,广东
复旦大学,人工智能,17,A,51.7,上海
四川大学,人工智能,18,A,51.2,四川
北京理工大学,人工智能,19,A,51.1,北京
湖南大学,人工智能,19,A,51.1,湖南
中南大学,人工智能,21,A,50.6,湖南
南京航空航天大学,人工智能,22,A,50,江苏
天津大学,人工智能,23,A,49.8,天津
同济大学,人工智能,24,A,49.1,上海
山东大学,人工智能,25,A,49,山东
武汉大学,人工智能,26,A,48.1,湖北
吉林大学,人工智能,27,A,47.4,吉林
重庆大学,人工智能,28,A,46.9,重庆
东北大学,人工智能,28,A,46.9,辽宁
中国人民大学,人工智能,28,A,46.9,北京
北京师范大学,人工智能,31,A,46.8,北京
华南理工大学,人工智能,32,A,46.7,广东
北京交通大学,人工智能,33,A,46.5,北京
北京科技大学,人工智能,34,A,45.8,北京
大连理工大学,人工智能,35,A,44.9,辽宁
厦门大学,人工智能,36,A,44.5,福建
苏州大学,人工智能,37,A,44.3,江苏
西南交通大学,人工智能,38,A,43.9,四川
南京邮电大学,人工智能,39,A,43.1,江苏
中国矿业大学,人工智能,40,A,42.9,江苏
杭州电子科技大学,人工智能,41,A,42.2,浙江
江南大学,人工智能,41,A,42.2,江苏
深圳大学,人工智能,43,A,41.9,广东
北京工业大学,人工智能,44,A,41.1,北京
哈尔滨工程大学,人工智能,45,A,41,黑龙江
福州大学,人工智能,46,A,40.8,福建
重庆邮电大学,人工智能,47,A,40.4,重庆
上海大学,人工智能,47,A,40.4,上海
中国农业大学,人工智能,47,A,40.4,北京
河海大学,人工智能,50,A,40.1,江苏
安徽大学,人工智能,51,A,39,安徽
武汉理工大学,人工智能,51,A,39,湖北
河北工业大学,人工智能,53,A,38.9,河北
南昌大学,人工智能,54,A,38.8,江西
南京信息工程大学,人工智能,55,A,38.5,江苏
华中师范大学,人工智能,56,A,38.3,湖北
西南大学,人工智能,57,A,37.8,重庆
陕西师范大学,人工智能,58,A,37.6,陕西
广州大学,人工智能,59,A,37.5,广东
兰州大学,人工智能,59,A,37.5,甘肃
大连海事大学,人工智能,61,A,37.1,辽宁
华东理工大学,人工智能,61,A,37.1,上海
海南大学,人工智能,63,B+,37,海南
暨南大学,人工智能,64,B+,36.3,广东
昆明理工大学,人工智能,65,B+,36,云南
云南大学,人工智能,65,B+,36,云南
广东工业大学,人工智能,67,B+,35.9,广东
郑州大学,人工智能,68,B+,35.5,河南
中北大学,人工智能,69,B+,35.3,山西
齐鲁工业大学,人工智能,70,B+,35,山东
中国矿业大学（北京）,人工智能,71,B+,34.3,北京
贵州大学,人工智能,72,B+,34.2,贵州
山西大学,人工智能,72,B+,34.2,山西
中国石油大学（华东）,人工智能,74,B+,34.1,山东
东华大学,人工智能,75,B+,34,上海
南京师范大学,人工智能,75,B+,34,江苏
华南农业大学,人工智能,77,B+,33.6,广东
湖南师范大学,人工智能,78,B+,33.5,湖南
华南师范大学,人工智能,78,B+,33.5,广东
太原理工大学,人工智能,80,B+,33.2,山西
中国石油大学（北京）,人工智能,80,B+,33.2,北京
中央民族大学,人工智能,82,B+,33.1,北京
北方工业大学,人工智能,83,B+,33,北京
桂林电子科技大学,人工智能,84,B+,32.9,广西
首都师范大学,人工智能,84,B+,32.9,北京
山东师范大学,人工智能,86,B+,32.6,山东
温州大学,人工智能,87,B+,32.5,浙江
西安邮电大学,人工智能,88,B+,32.3,陕西
中国传媒大学,人工智能,88,B+,32.3,北京
华北电力大学,人工智能,90,B+,31.9,北京
西安理工大学,人工智能,91,B+,31.7,陕西
浙江师范大学,人工智能,91,B+,31.7,浙江
上海理工大学,人工智能,93,B+,31.6,上海
福建师范大学,人工智能,94,B+,31.5,福建
浙江工商大学,人工智能,94,B+,31.5,浙江
天津理工大学,人工智能,96,B+,31.4,天津
湘潭大学,人工智能,97,B+,30.9,湖南
华中农业大学,人工智能,98,B+,30.7,湖北
华东交通大学,人工智能,99,B+,30.6,江西
长沙理工大学,人工智能,100,B+,30.1,湖南
上海师范大学,人工智能,101,B+,29.9,上海
北京化工大学,人工智能,102,B+,29.8,北京
西安工业大学,人工智能,103,B+,29.7,陕西
北京信息科技大学,人工智能,104,B+,29.6,北京
南京农业大学,人工智能,105,B+,29.5,江苏
西南财经大学,人工智能,105,B+,29.5,四川
上海海事大学,人工智能,107,B+,29.4,上海
长安大学,人工智能,108,B+,29.2,陕西
中国地质大学（北京）,人工智能,108,B+,29.2,北京
天津工业大学,人工智能,110,B+,29.1,天津
江西师范大学,人工智能,111,B+,28.6,江西
南京林业大学,人工智能,112,B+,28.4,江苏
成都大学,人工智能,113,B+,28.2,四川
济南大学,人工智能,113,B+,28.2,山东
对外经济贸易大学,人工智能,115,B+,27.9,北京
南京工业大学,人工智能,116,B+,27.7,江苏
中南财经政法大学,人工智能,116,B+,27.7,湖北
河南大学,人工智能,118,B+,27.4,河南
扬州大学,人工智能,119,B+,27.3,江苏
北京语言大学,人工智能,120,B+,27.2,北京
东北林业大学,人工智能,121,B+,27,黑龙江
国际关系学院,人工智能,122,B+,26.9,北京
成都理工大学,人工智能,123,B+,26.8,四川
中国计量大学,人工智能,123,B+,26.8,浙江
北京工商大学,人工智能,125,B+,26.7,北京
湖北大学,人工智能,126,B+,26.6,湖北
辽宁师范大学,人工智能,127,B+,26.4,辽宁
武汉工程大学,人工智能,127,B+,26.4,湖北
广西师范大学,人工智能,129,B+,26.2,广西
苏州科技大学,人工智能,130,B+,26.1,江苏
曲阜师范大学,人工智能,131,B+,26,山东
北京建筑大学,人工智能,132,B+,25.9,北京
福建农林大学,人工智能,132,B+,25.9,福建
南通大学,人工智能,132,B+,25.9,江苏
西南石油大学,人工智能,132,B+,25.9,四川
东北农业大学,人工智能,136,B+,25.8,黑龙江
延边大学,人工智能,137,B+,25.6,吉林
北京联合大学,人工智能,138,B+,25.4,北京
成都信息工程大学,人工智能,138,B+,25.4,四川
中国民航大学,人工智能,138,B+,25.4,天津
浙江财经大学,人工智能,141,B+,25.3,浙江
长江大学,人工智能,142,B+,25.1,湖北
河北大学,人工智能,142,B+,25.1,河北
华侨大学,人工智能,144,B+,25,福建
江苏科技大学,人工智能,144,B+,25,江苏
上海海洋大学,人工智能,144,B+,25,上海
重庆交通大学,人工智能,147,B+,24.8,重庆
集美大学,人工智能,147,B+,24.8,福建
天津科技大学,人工智能,147,B+,24.8,天津
山东工商学院,人工智能,150,B+,24.7,山东
西安建筑科技大学,人工智能,150,B+,24.7,陕西
哈尔滨理工大学,人工智能,152,B+,24.6,黑龙江
上海应用技术大学,人工智能,152,B+,24.6,上海
中南民族大学,人工智能,152,B+,24.6,湖北
常州大学,人工智能,155,B+,24.4,江苏
湖州师范学院,人工智能,156,B+,24.3,浙江
青岛科技大学,人工智能,157,B+,24.2,山东
南京审计大学,人工智能,158,B+,23.9,江苏
沈阳航空航天大学,人工智能,159,B+,23.7,辽宁
南昌航空大学,人工智能,160,B+,23.6,江西
南京工程学院,人工智能,160,B+,23.6,江苏
上海工程技术大学,人工智能,160,B+,23.6,上海
重庆理工大学,人工智能,163,B+,23.5,重庆
西南科技大学,人工智能,163,B+,23.5,四川
安徽财经大学,人工智能,165,B+,23.4,安徽
西安石油大学,人工智能,165,B+,23.4,陕西
山东财经大学,人工智能,167,B+,23.3,山东
陕西科技大学,人工智能,167,B+,23.3,陕西
贵州师范大学,人工智能,169,B+,23.2,贵州
河北师范大学,人工智能,169,B+,23.2,河北
武汉纺织大学,人工智能,169,B+,23.2,湖北
安徽工程大学,人工智能,172,B+,23.1,安徽
天津师范大学,人工智能,172,B+,23.1,天津
浙大城市学院,人工智能,172,B+,23.1,浙江
中南林业科技大学,人工智能,175,B+,23,湖南
安徽工业大学,人工智能,176,B+,22.9,安徽
江苏师范大学,人工智能,176,B+,22.9,江苏
武汉轻工大学,人工智能,176,B+,22.9,湖北
北京物资学院,人工智能,179,B+,22.8,北京
云南师范大学,人工智能,179,B+,22.8,云南
安徽理工大学,人工智能,181,B+,22.7,安徽
安徽师范大学,人工智能,181,B+,22.7,安徽
西安工程大学,人工智能,181,B+,22.7,陕西
厦门理工学院,人工智能,181,B+,22.7,福建
大连民族大学,人工智能,185,B+,22.6,辽宁
湖南工业大学,人工智能,185,B+,22.6,湖南
石家庄铁道大学,人工智能,185,B+,22.6,河北
江汉大学,人工智能,188,B,22.4,湖北
南华大学,人工智能,188,B,22.4,湖南
东北石油大学,人工智能,190,B,22.3,黑龙江
河北科技大学,人工智能,190,B,22.3,河北
上海电机学院,人工智能,190,B,22.3,上海
沈阳建筑大学,人工智能,190,B,22.3,辽宁
福建理工大学,人工智能,194,B,22.2,福建
广东财经大学,人工智能,194,B,22.2,广东
河南理工大学,人工智能,194,B,22.2,河南
重庆工商大学,人工智能,197,B,22.1,重庆
江西理工大学,人工智能,197,B,22.1,江西
上海对外经贸大学,人工智能,197,B,22.1,上海
西南民族大学,人工智能,197,B,22.1,四川
海南师范大学,人工智能,201,B,21.9,海南
山东理工大学,人工智能,201,B,21.9,山东
大连交通大学,人工智能,203,B,21.8,辽宁
东北财经大学,人工智能,203,B,21.8,辽宁
浙江传媒学院,人工智能,203,B,21.8,浙江
东华理工大学,人工智能,206,B,21.7,江西
合肥师范学院,人工智能,207,B,21.6,安徽
南京中医药大学,人工智能,207,B,21.6,江苏
烟台大学,人工智能,207,B,21.6,山东
浙江科技大学,人工智能,207,B,21.6,浙江
郑州轻工业大学,人工智能,207,B,21.6,河南
桂林理工大学,人工智能,212,B,21.3,广西
华北水利水电大学,人工智能,212,B,21.3,河南
西华师范大学,人工智能,212,B,21.3,四川
山东农业大学,人工智能,215,B,21.2,山东
深圳技术大学,人工智能,215,B,21.2,广东
河北经贸大学,人工智能,217,B,21,河北
华北理工大学,人工智能,217,B,21,河北
陕西理工大学,人工智能,217,B,21,陕西
山东建筑大学,人工智能,220,B,20.9,山东
湖南工商大学,人工智能,221,B,20.8,湖南
沈阳大学,人工智能,221,B,20.8,辽宁
天津职业技术师范大学,人工智能,221,B,20.8,天津
河北农业大学,人工智能,224,B,20.7,河北
重庆文理学院,人工智能,225,B,20.6,重庆
辽宁石油化工大学,人工智能,225,B,20.6,辽宁
天津城建大学,人工智能,225,B,20.6,天津
淮阴工学院,人工智能,228,B,20.5,江苏
广东技术师范大学,人工智能,229,B,20.4,广东
中国民用航空飞行学院,人工智能,230,B,20.2,四川
贵阳学院,人工智能,231,B,20.1,贵州
常州工学院,人工智能,232,B,20,江苏
闽江学院,人工智能,232,B,20,福建
沈阳化工大学,人工智能,234,B,19.9,辽宁
长春大学,人工智能,235,B,19.8,吉林
甘肃政法大学,人工智能,236,B,19.7,甘肃
湖北汽车工业学院,人工智能,236,B,19.7,湖北
湖南理工学院,人工智能,236,B,19.7,湖南
湖南第一师范学院,人工智能,239,B,19.6,湖南
闽南师范大学,人工智能,239,B,19.6,福建
鲁东大学,人工智能,241,B,19.5,山东
盐城工学院,人工智能,241,B,19.5,江苏
湖北师范大学,人工智能,243,B,19.4,湖北
景德镇陶瓷大学,人工智能,243,B,19.4,江西
辽宁工程技术大学,人工智能,243,B,19.4,辽宁
云南农业大学,人工智能,246,B,19.3,云南
长沙学院,人工智能,247,B,19.2,湖南
广东石油化工学院,人工智能,247,B,19.2,广东
湖北科技学院,人工智能,247,B,19.2,湖北
江西科技师范大学,人工智能,247,B,19.2,江西
中原工学院,人工智能,247,B,19.2,河南
北师香港浸会大学,人工智能,252,B,19.1,广东
黑龙江科技大学,人工智能,252,B,19.1,黑龙江
临沂大学,人工智能,252,B,19.1,山东
沈阳工程学院,人工智能,255,B,19,辽宁
新疆农业大学,人工智能,255,B,19,新疆
郑州航空工业管理学院,人工智能,255,B,19,河南
皖西学院,人工智能,258,B,18.9,安徽
北京石油化工学院,人工智能,259,B,18.8,北京
青海民族大学,人工智能,259,B,18.8,青海
聊城大学,人工智能,261,B,18.7,山东
西北民族大学,人工智能,262,B,18.5,甘肃
吉首大学,人工智能,263,B,18.4,湖南
广西民族大学,人工智能,264,B,18.3,广西
云南民族大学,人工智能,264,B,18.3,云南
湖北文理学院,人工智能,266,B,18.2,湖北
吉林工程技术师范学院,人工智能,266,B,18.2,吉林
山东航空学院,人工智能,266,B,18.2,山东
北华航天工业学院,人工智能,269,B,18.1,河北
河南师范大学,人工智能,269,B,18.1,河南
黑龙江工程学院,人工智能,271,B,18,黑龙江
榆林学院,人工智能,271,B,18,陕西
浙江万里学院,人工智能,271,B,18,浙江
湖南科技学院,人工智能,274,B,17.8,湖南
内蒙古工业大学,人工智能,274,B,17.8,内蒙古
齐齐哈尔大学,人工智能,274,B,17.8,黑龙江
长春工业大学,人工智能,277,B,17.7,吉林
河南财经政法大学,人工智能,277,B,17.7,河南
河南农业大学,人工智能,279,B,17.6,河南
湖北经济学院,人工智能,279,B,17.6,湖北
湖南城市学院,人工智能,281,B,17.4,湖南
兰州财经大学,人工智能,281,B,17.4,甘肃
黔南民族师范学院,人工智能,281,B,17.4,贵州
无锡学院,人工智能,284,B,17.3,江苏
信阳师范大学,人工智能,284,B,17.3,河南
宁波工程学院,人工智能,286,B,17.2,浙江
宝鸡文理学院,人工智能,287,B,16.9,陕西
安徽科技学院,人工智能,288,B,16.8,安徽
安阳师范学院,人工智能,288,B,16.8,河南
贵州民族大学,人工智能,288,B,16.8,贵州
泰山学院,人工智能,288,B,16.8,山东
宁夏师范大学,人工智能,292,B,16.6,宁夏
河南工业大学,人工智能,293,B,16.5,河南
山西师范大学,人工智能,293,B,16.5,山西
浙江水利水电学院,人工智能,295,B,16.4,浙江
德州学院,人工智能,296,B,16.2,山东
温州理工学院,人工智能,296,B,16.2,浙江
河南科技学院,人工智能,298,B,16,河南
长春师范大学,人工智能,299,B,15.8,吉林
成都工业学院,人工智能,299,B,15.8,四川
安徽中医药大学,人工智能,301,B,15.7,安徽
湖北第二师范学院,人工智能,302,B,15.6,湖北
苏州城市学院,人工智能,302,B,15.6,江苏
湖北工程学院,人工智能,304,B,15.5,湖北
北京城市学院,人工智能,305,B,15.4,北京
湖南财政经济学院,人工智能,305,B,15.4,湖南
徐州工程学院,人工智能,307,B,15.2,江苏
湖北理工学院,人工智能,308,B,15.1,湖北
湖南工程学院,人工智能,308,B,15.1,湖南
黄冈师范学院,人工智能,308,B,15.1,湖北
衢州学院,人工智能,311,B,15,浙江
湘南学院,人工智能,312,B,14.9,湖南
西安交通大学,大数据管理与应用,1,A+,55.1,陕西
上海交通大学,大数据管理与应用,2,A+,51.1,上海
哈尔滨工业大学,大数据管理与应用,3,A+,49.8,黑龙江
南京航空航天大学,大数据管理与应用,4,A+,48.7,江苏
合肥工业大学,大数据管理与应用,5,A+,48,安徽
中央财经大学,大数据管理与应用,5,A+,48,北京
武汉大学,大数据管理与应用,7,A,47.9,湖北
大连理工大学,大数据管理与应用,8,A,47.7,辽宁
北京科技大学,大数据管理与应用,9,A,47.6,北京
华中科技大学,大数据管理与应用,10,A,47.4,湖北
中国人民大学,大数据管理与应用,11,A,47.3,北京
华南理工大学,大数据管理与应用,12,A,46.2,广东
哈尔滨工程大学,大数据管理与应用,13,A,43.6,黑龙江
南京理工大学,大数据管理与应用,14,A,43.5,江苏
江南大学,大数据管理与应用,15,A,42.8,江苏
北京邮电大学,大数据管理与应用,16,A,40.9,北京
中国矿业大学,大数据管理与应用,17,A,40.5,江苏
湖南大学,大数据管理与应用,18,A,39.9,湖南
北京大学,大数据管理与应用,19,A,39.8,北京
北京工业大学,大数据管理与应用,20,A,39.7,北京
南京信息工程大学,大数据管理与应用,21,A,39,江苏
西安电子科技大学,大数据管理与应用,22,A,38.7,陕西
河海大学,大数据管理与应用,23,A,37.8,江苏
南方科技大学,大数据管理与应用,23,A,37.8,广东
南京邮电大学,大数据管理与应用,25,A,37.6,江苏
山东财经大学,大数据管理与应用,26,A,37.5,山东
吉林大学,大数据管理与应用,27,A,37.2,吉林
大连海事大学,大数据管理与应用,28,A,37,辽宁
武汉理工大学,大数据管理与应用,29,A,36.5,湖北
西南财经大学,大数据管理与应用,29,A,36.5,四川
北京化工大学,大数据管理与应用,31,B+,36.4,北京
长安大学,大数据管理与应用,31,B+,36.4,陕西
华中师范大学,大数据管理与应用,33,B+,35.7,湖北
郑州大学,大数据管理与应用,34,B+,35.6,河南
中国传媒大学,大数据管理与应用,35,B+,35.3,北京
东北财经大学,大数据管理与应用,36,B+,34.7,辽宁
湖南工商大学,大数据管理与应用,36,B+,34.7,湖南
西安邮电大学,大数据管理与应用,38,B+,34.5,陕西
中国矿业大学（北京）,大数据管理与应用,39,B+,34,北京
广东工业大学,大数据管理与应用,40,B+,33.8,广东
北京信息科技大学,大数据管理与应用,41,B+,33.7,北京
上海海事大学,大数据管理与应用,42,B+,32.8,上海
南京财经大学,大数据管理与应用,43,B+,32.7,江苏
中南财经政法大学,大数据管理与应用,43,B+,32.7,湖北
西安建筑科技大学,大数据管理与应用,45,B+,32,陕西
中国地质大学（北京）,大数据管理与应用,45,B+,32,北京
重庆邮电大学,大数据管理与应用,47,B+,31.9,重庆
山东科技大学,大数据管理与应用,48,B+,31.7,山东
江苏科技大学,大数据管理与应用,49,B+,30.8,江苏
浙江理工大学,大数据管理与应用,49,B+,30.8,浙江
杭州师范大学,大数据管理与应用,51,B+,30.5,浙江
南京审计大学,大数据管理与应用,52,B+,30.3,江苏
江西师范大学,大数据管理与应用,53,B+,29.7,江西
成都理工大学,大数据管理与应用,54,B+,29.5,四川
天津理工大学,大数据管理与应用,54,B+,29.5,天津
中国农业大学,大数据管理与应用,56,B+,29.4,北京
西安理工大学,大数据管理与应用,57,B+,29,陕西
北京中医药大学,大数据管理与应用,58,B+,28.7,北京
南京林业大学,大数据管理与应用,58,B+,28.7,江苏
河南科技大学,大数据管理与应用,60,B+,28.5,河南
西南大学,大数据管理与应用,61,B+,28.1,重庆
北京工商大学,大数据管理与应用,62,B+,27.6,北京
华南农业大学,大数据管理与应用,63,B+,27.5,广东
湖北工业大学,大数据管理与应用,64,B+,27.1,湖北
华北水利水电大学,大数据管理与应用,64,B+,27.1,河南
上海外国语大学,大数据管理与应用,64,B+,27.1,上海
重庆工商大学,大数据管理与应用,67,B+,27,重庆
天津财经大学,大数据管理与应用,68,B+,26.5,天津
陕西师范大学,大数据管理与应用,69,B+,26.3,陕西
海南大学,大数据管理与应用,70,B+,26.1,海南
华南师范大学,大数据管理与应用,71,B+,25.9,广东
北京物资学院,大数据管理与应用,72,B+,25.8,北京
华中农业大学,大数据管理与应用,73,B+,25.4,湖北
武汉工程大学,大数据管理与应用,73,B+,25.4,湖北
上海应用技术大学,大数据管理与应用,75,B+,25.3,上海
重庆理工大学,大数据管理与应用,76,B+,25,重庆
安徽大学,大数据管理与应用,77,B+,24.9,安徽
首都师范大学,大数据管理与应用,78,B+,24.8,北京
西安石油大学,大数据管理与应用,79,B+,24.6,陕西
天津师范大学,大数据管理与应用,80,B+,24.3,天津
武汉纺织大学,大数据管理与应用,81,B+,24,湖北
江汉大学,大数据管理与应用,82,B+,23.9,湖北
西安科技大学,大数据管理与应用,82,B+,23.9,陕西
四川师范大学,大数据管理与应用,84,B+,23.8,四川
大连交通大学,大数据管理与应用,85,B+,23.7,辽宁
安徽工业大学,大数据管理与应用,86,B+,23.6,安徽
天津外国语大学,大数据管理与应用,86,B+,23.6,天津
郑州航空工业管理学院,大数据管理与应用,86,B+,23.6,河南
济南大学,大数据管理与应用,89,B,23.5,山东
上海商学院,大数据管理与应用,89,B,23.5,上海
天津科技大学,大数据管理与应用,91,B,23.3,天津
西安工程大学,大数据管理与应用,91,B,23.3,陕西
南京工程学院,大数据管理与应用,93,B,23,江苏
湖北大学,大数据管理与应用,94,B,22.9,湖北
安徽工程大学,大数据管理与应用,95,B,22.6,安徽
湖南工业大学,大数据管理与应用,95,B,22.6,湖南
兰州理工大学,大数据管理与应用,95,B,22.6,甘肃
吉林财经大学,大数据管理与应用,98,B,22.5,吉林
南京中医药大学,大数据管理与应用,99,B,22.4,江苏
桂林电子科技大学,大数据管理与应用,100,B,22.3,广西
河北经贸大学,大数据管理与应用,101,B,22.1,河北
北京石油化工学院,大数据管理与应用,102,B,22,北京
西安财经大学,大数据管理与应用,102,B,22,陕西
山东理工大学,大数据管理与应用,104,B,21.8,山东
广东财经大学,大数据管理与应用,105,B,21.7,广东
贵州财经大学,大数据管理与应用,105,B,21.7,贵州
天津城建大学,大数据管理与应用,107,B,21.3,天津
河北科技大学,大数据管理与应用,108,B,21.2,河北
沈阳大学,大数据管理与应用,109,B,21.1,辽宁
河北地质大学,大数据管理与应用,110,B,21,河北
哈尔滨商业大学,大数据管理与应用,111,B,20.8,黑龙江
北京联合大学,大数据管理与应用,112,B,20.5,北京
安徽医科大学,大数据管理与应用,113,B,19.9,安徽
阜阳师范大学,大数据管理与应用,113,B,19.9,安徽
四川外国语大学,大数据管理与应用,115,B,19.3,重庆
湖北汽车工业学院,大数据管理与应用,116,B,19.2,湖北
西安外国语大学,大数据管理与应用,116,B,19.2,陕西
大连工业大学,大数据管理与应用,118,B,18.4,辽宁
兰州财经大学,大数据管理与应用,119,B,18.3,甘肃
大连外国语大学,大数据管理与应用,120,B,18.1,辽宁
沈阳医学院,大数据管理与应用,121,B,17.8,辽宁
福建农林大学,大数据管理与应用,122,B,17.7,福建
武汉轻工大学,大数据管理与应用,122,B,17.7,湖北
绍兴文理学院,大数据管理与应用,124,B,17.5,浙江
西北师范大学,大数据管理与应用,124,B,17.5,甘肃
宁夏大学,大数据管理与应用,126,B,17.3,宁夏
辽宁石油化工大学,大数据管理与应用,127,B,17.2,辽宁
山东第二医科大学,大数据管理与应用,128,B,16.4,山东
重庆三峡学院,大数据管理与应用,129,B,16.3,重庆
湖北经济学院,大数据管理与应用,130,B,16.1,湖北
天津体育学院,大数据管理与应用,130,B,16.1,天津
嘉兴南湖学院,大数据管理与应用,132,B,16,浙江
攀枝花学院,大数据管理与应用,132,B,16,四川
武汉商学院,大数据管理与应用,132,B,16,湖北
大连海洋大学,大数据管理与应用,135,B,15.9,辽宁
